method,seed,encoder_key,resolution,evaluation_stage,evaluation_split,n,accuracy,balanced_accuracy,macro_f1,nll,brier,ece_15,ece_15_uncalibrated,nll_uncalibrated,aurc,temperature,confidence_threshold_90pct_validation_coverage,selective_coverage,selective_accuracy,stored_examples,budget_per_class,selected_alpha,selected_k,selected_class_k,selected_reliability_power,global_neighbor_label_precision_at_k,query_reliability_mean,text_weight_mean,inference_ms_per_query
CLIP zero-shot,7,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.8796969696969696,0.8796969696969696,0.8769375934790692,0.7524928427365811,0.32103319356568544,0.324947961624787,0.7839846189837093,2.348580033338351,0.048430636081381775,0.02,0.3060153116683117,0.8984848484848484,0.9143338954468803,0,,,,,,,,,0.0
Full kNN,7,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9590909090909091,0.959090909090909,0.9588246483419222,0.35758902917307667,0.06287429833280521,0.011950978386985587,0.011950978386985587,0.35758902917307667,0.010821963554657778,1.0,0.8185022265047955,0.9054545454545454,0.9886211512717537,13200,,,10.0,,,,,,0.10257441060606322
Linear probe,7,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9666666666666667,0.9666666666666668,0.966588928283148,0.11041394655416507,0.05048357042902896,0.011819357118448323,0.011819357118448323,0.11041394655416507,0.0019480554311093043,1.0,0.8720905016784811,0.896969696969697,0.9949324324324325,0,,,,,,,,,0.0024213203030078807
Random memory fused,7,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9290909090909091,0.9290909090909092,0.9280375127498953,0.2577335021736741,0.11295156352023675,0.031494731391309684,0.5735371017539999,1.0940465055445017,0.00915494375289459,0.2,0.8817597246390346,0.8930303030303031,0.9674244994910078,440,40.0,0.75,10.0,,,0.8329696969696969,,,0.019187717575801577
Centroid fused,7,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.8942424242424243,0.8942424242424242,0.8918249059675116,0.3261543507055099,0.15533567221637293,0.030246640536126954,0.6342360834663398,1.416974793267616,0.017738389590584318,0.15,0.7043591668604874,0.9015151515151515,0.9408403361344538,11,1.0,0.75,10.0,,,0.0999090909090909,,,0.014043767575706377
KMeans medoids fused,7,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9424242424242424,0.9424242424242425,0.9417560372102723,0.1884826722531443,0.085989746758533,0.025487710647907467,0.581345012924982,1.0638950118652923,0.0055307487234229685,0.2,0.9298725259475403,0.896969696969697,0.9824324324324324,440,40.0,0.75,10.0,,,0.857909090909091,,,0.01634228545457738
Facility selection (no reliability) fused,7,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9472727272727273,0.9472727272727274,0.9467559665168597,0.17713991796190626,0.08032662006743371,0.0240965491818386,0.5852656415740196,1.0589359516568855,0.004960258873312331,0.2,0.9204849065804879,0.9136363636363637,0.9830845771144279,440,40.0,0.75,10.0,,,0.8592121212121212,,,0.017685068181766506
EvidenceMem v2 selection fused,7,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9403030303030303,0.9403030303030303,0.9396610378321854,0.25512075133477663,0.10002870134606318,0.039896621401538476,0.5694897615418719,1.0486434327770038,0.008956180544962188,0.2,0.9638282894683285,0.9045454545454545,0.9752093802345059,440,40.0,0.75,5.0,,,0.9006060606060606,,,0.0192094930303304
EvidenceMem v4 global fusion,7,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9466666666666667,0.9466666666666668,0.9461191148608905,0.17933233658161832,0.08137510814772125,0.024081431979772715,0.5846856244631544,1.0594472147397693,0.0050387114910181805,0.2,0.9186146074096583,0.9151515151515152,0.9827814569536424,440,40.0,0.75,10.0,,,0.8592121212121212,,,0.020177290000033696
EvidenceMem v4 class-conditional visual,7,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9503030303030303,0.9503030303030301,0.9497655910875071,0.17353558591915716,0.07730621130913824,0.01844912997005925,0.37780728588899454,0.6522575905062065,0.0045917813298431125,0.2,0.9007229486114574,0.9045454545454545,0.9835845896147404,440,40.0,,,5.0,0.0,0.8592121212121212,0.8855618238449097,0.0,0.06048474090903255
EvidenceMem v4 fixed fusion,7,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9503030303030303,0.9503030303030303,0.9498111218755979,0.15968446780538864,0.0746342769505444,0.012942499264682814,0.4762694293262614,0.8265418332033275,0.004374936903694679,0.2,0.8713218174984928,0.9057575757575758,0.9842756774841084,440,40.0,,,5.0,0.0,0.8592121212121212,0.8855618238449097,0.25,0.06048474090903255
EvidenceMem v4 continuous fusion,7,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9503030303030303,0.9503030303030303,0.9498111218755979,0.15968446780538864,0.0746342769505444,0.012942499264682814,0.4762694293262614,0.8265418332033275,0.004374936903694679,0.2,0.8713218174984928,0.9057575757575758,0.9842756774841084,440,40.0,,,5.0,0.0,0.8592121212121212,0.8855618238449097,0.25,0.06048474090903255
Tip-Adapter (matched cache),7,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9166666666666666,0.9166666666666667,0.9141326504068449,0.31694684458373446,0.13212606620961537,0.03980656594958942,0.03980656594958942,0.31694684458373446,0.013513394886340412,1.0,0.80613269641671,0.906969696969697,0.9515536251252924,440,40.0,,,,,0.8329696969696969,,,0.006520338181761679
CLIP zero-shot,17,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.8796969696969696,0.8796969696969696,0.8769375934790692,0.7524928427365811,0.32103319356568544,0.324947961624787,0.7839846189837093,2.348580033338351,0.048430636081381775,0.02,0.3060153116683117,0.8984848484848484,0.9143338954468803,0,,,,,,,,,0.0
Full kNN,17,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9590909090909091,0.959090909090909,0.9588246483419222,0.35758902917307667,0.06287429833280521,0.011950978386985587,0.011950978386985587,0.35758902917307667,0.010821963554657778,1.0,0.8185022265047955,0.9054545454545454,0.9886211512717537,13200,,,10.0,,,,,,0.10257441060606322
Linear probe,17,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9666666666666667,0.9666666666666668,0.966588928283148,0.11041394655416507,0.05048357042902896,0.011819357118448323,0.011819357118448323,0.11041394655416507,0.0019480554311093043,1.0,0.8720905016784811,0.896969696969697,0.9949324324324325,0,,,,,,,,,0.0024213203030078807
Random memory fused,17,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9257575757575758,0.9257575757575757,0.9243326304830554,0.24317617004343556,0.11277167861292123,0.02478025069730315,0.5824647122431768,1.1280094965730447,0.009563935349663627,0.2,0.8223384435686114,0.899090909090909,0.967644084934277,440,40.0,0.75,20.0,,,0.7660454545454546,,,0.02062670515153348
Centroid fused,17,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.8942424242424243,0.8942424242424242,0.8918249059675116,0.3261543507055099,0.15533567221637293,0.030246640536126954,0.6342360834663398,1.416974793267616,0.017738389590584318,0.15,0.7043591668604874,0.9015151515151515,0.9408403361344538,11,1.0,0.75,10.0,,,0.0999090909090909,,,0.011178246363670041
KMeans medoids fused,17,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9466666666666667,0.9466666666666668,0.945808830489261,0.19013425252393343,0.08521467940969414,0.023937258910133374,0.5839519208407127,1.059643939901231,0.005982449936692834,0.2,0.9287827765053659,0.9066666666666666,0.9806149732620321,440,40.0,0.75,10.0,,,0.8620909090909091,,,0.019825030606102013
