encoder_key,resolution,evaluation_stage,seed,method,budget_per_class,stored_examples,accuracy,balanced_accuracy,macro_f1,global_neighbor_label_precision_at_k,selected_setting
siglip2_b16_384,384,confirmatory,7,Random memory,20,220,0.91,0.91,0.9082175308913356,0.8229090909090909,"{""alpha"": 0.75, ""k"": 5}"
siglip2_b16_384,384,confirmatory,7,Facility selection (no reliability),20,220,0.9436363636363636,0.9436363636363637,0.9430625864961126,0.8936363636363637,"{""alpha"": 0.75, ""k"": 3}"
siglip2_b16_384,384,confirmatory,7,EvidenceMem v4 continuous fusion,20,220,0.9427272727272727,0.9427272727272729,0.9419377409354339,0.8936363636363637,"{""class_k"": 10, ""continuous_intercept"": 0.0, ""continuous_slope"": 0.0, ""fixed_alpha"": 0.0, ""global_setting"": {""alpha"": 0.75, ""k"": 3}, ""reliability_mean"": 0.5492752194404602, ""reliability_power"": 1.0, ""reliability_std"": 0.0033003673888742924, ""reliability_weights"": {""alignment"": 1.0, ""compactness"": 0.0, ""purity"": 0.0}, ""variant"": ""class_conditional_continuous_fusion""}"
siglip2_b16_384,384,confirmatory,7,Random memory,40,440,0.9290909090909091,0.9290909090909092,0.9280375127498953,0.8329696969696969,"{""alpha"": 0.75, ""k"": 10}"
siglip2_b16_384,384,confirmatory,7,Facility selection (no reliability),40,440,0.9472727272727273,0.9472727272727274,0.9467559665168597,0.8592121212121212,"{""alpha"": 0.75, ""k"": 10}"
siglip2_b16_384,384,confirmatory,7,EvidenceMem v4 continuous fusion,40,440,0.9503030303030303,0.9503030303030303,0.9498111218755979,0.8592121212121212,"{""class_k"": 5, ""continuous_intercept"": 0.25, ""continuous_slope"": 0.0, ""fixed_alpha"": 0.25, ""global_setting"": {""alpha"": 0.75, ""k"": 10}, ""reliability_mean"": 0.8853546380996704, ""reliability_power"": 0.0, ""reliability_std"": 0.018071262165904045, ""reliability_weights"": {""alignment"": 0.0, ""compactness"": 1.0, ""purity"": 0.0}, ""variant"": ""class_conditional_continuous_fusion""}"
siglip2_b16_384,384,confirmatory,7,Random memory,80,880,0.9393939393939394,0.9393939393939394,0.9389883557297161,0.8701212121212121,"{""alpha"": 0.75, ""k"": 10}"
siglip2_b16_384,384,confirmatory,7,Facility selection (no reliability),80,880,0.9575757575757575,0.9575757575757575,0.9572800661566423,0.9111515151515152,"{""alpha"": 0.75, ""k"": 5}"
siglip2_b16_384,384,confirmatory,7,EvidenceMem v4 continuous fusion,80,880,0.9566666666666667,0.9566666666666667,0.9563588504115285,0.9111515151515152,"{""class_k"": 5, ""continuous_intercept"": 0.25, ""continuous_slope"": 0.0, ""fixed_alpha"": 0.25, ""global_setting"": {""alpha"": 0.75, ""k"": 5}, ""reliability_mean"": 0.547949492931366, ""reliability_power"": 2.0, ""reliability_std"": 0.005100513808429241, ""reliability_weights"": {""alignment"": 1.0, ""compactness"": 0.0, ""purity"": 0.0}, ""variant"": ""class_conditional_continuous_fusion""}"
siglip2_b16_384,384,confirmatory,17,Random memory,20,220,0.9178787878787878,0.917878787878788,0.9155934851095875,0.6150151515151515,"{""alpha"": 0.75, ""k"": 20}"
siglip2_b16_384,384,confirmatory,17,Facility selection (no reliability),20,220,0.9415151515151515,0.9415151515151515,0.9405911538235571,0.6737727272727273,"{""alpha"": 0.5, ""k"": 20}"
siglip2_b16_384,384,confirmatory,17,EvidenceMem v4 continuous fusion,20,220,0.9442424242424242,0.9442424242424244,0.9434765024458873,0.8781818181818182,"{""class_k"": 10, ""continuous_intercept"": 0.25, ""continuous_slope"": 0.0, ""fixed_alpha"": 0.25, ""global_setting"": {""alpha"": 0.75, ""k"": 5}, ""reliability_mean"": 0.5494809746742249, ""reliability_power"": 2.0, ""reliability_std"": 0.003509129397571087, ""reliability_weights"": {""alignment"": 1.0, ""compactness"": 0.0, ""purity"": 0.0}, ""variant"": ""class_conditional_continuous_fusion""}"
siglip2_b16_384,384,confirmatory,17,Random memory,40,440,0.9257575757575758,0.9257575757575757,0.9243326304830554,0.7660454545454546,"{""alpha"": 0.75, ""k"": 20}"
siglip2_b16_384,384,confirmatory,17,Facility selection (no reliability),40,440,0.9487878787878787,0.9487878787878788,0.9484546539427612,0.8575757575757575,"{""alpha"": 0.25, ""k"": 10}"
siglip2_b16_384,384,confirmatory,17,EvidenceMem v4 continuous fusion,40,440,0.9493939393939393,0.9493939393939392,0.948983609159458,0.8575757575757575,"{""class_k"": 10, ""continuous_intercept"": 0.0, ""continuous_slope"": -0.25, ""fixed_alpha"": 0.0, ""global_setting"": {""alpha"": 0.5, ""k"": 10}, ""reliability_mean"": 0.5491036772727966, ""reliability_power"": 1.0, ""reliability_std"": 0.003937423694878817, ""reliability_weights"": {""alignment"": 1.0, ""compactness"": 0.0, ""purity"": 0.0}, ""variant"": ""class_conditional_continuous_fusion""}"
siglip2_b16_384,384,confirmatory,17,Random memory,80,880,0.9309090909090909,0.9309090909090909,0.9301067951015326,0.8855151515151515,"{""alpha"": 0.75, ""k"": 5}"
siglip2_b16_384,384,confirmatory,17,Facility selection (no reliability),80,880,0.9572727272727273,0.9572727272727272,0.95691825076871,0.9079393939393939,"{""alpha"": 0.75, ""k"": 5}"
siglip2_b16_384,384,confirmatory,17,EvidenceMem v4 continuous fusion,80,880,0.9536363636363636,0.9536363636363635,0.9533664756742588,0.9079393939393939,"{""class_k"": 5, ""continuous_intercept"": 0.0, ""continuous_slope"": 0.0, ""fixed_alpha"": 0.0, ""global_setting"": {""alpha"": 0.75, ""k"": 5}, ""reliability_mean"": 0.5477752089500427, ""reliability_power"": 2.0, ""reliability_std"": 0.004827465396374464, ""reliability_weights"": {""alignment"": 1.0, ""compactness"": 0.0, ""purity"": 0.0}, ""variant"": ""class_conditional_continuous_fusion""}"
siglip2_b16_384,384,confirmatory,29,Random memory,20,220,0.9166666666666666,0.9166666666666665,0.9148570448611479,0.6180757575757576,"{""alpha"": 0.75, ""k"": 20}"
siglip2_b16_384,384,confirmatory,29,Facility selection (no reliability),20,220,0.9445454545454546,0.9445454545454546,0.9439176156837721,0.8763030303030303,"{""alpha"": 0.75, ""k"": 5}"
siglip2_b16_384,384,confirmatory,29,EvidenceMem v4 continuous fusion,20,220,0.9409090909090909,0.940909090909091,0.940122629726969,0.8763030303030303,"{""class_k"": 10, ""continuous_intercept"": 0.25, ""continuous_slope"": -0.25, ""fixed_alpha"": 0.5, ""global_setting"": {""alpha"": 0.75, ""k"": 5}, ""reliability_mean"": 0.549433171749115, ""reliability_power"": 2.0, ""reliability_std"": 0.003458784194663167, ""reliability_weights"": {""alignment"": 1.0, ""compactness"": 0.0, ""purity"": 0.0}, ""variant"": ""class_conditional_continuous_fusion""}"
siglip2_b16_384,384,confirmatory,29,Random memory,40,440,0.9272727272727272,0.9272727272727274,0.9267359827309275,0.8684848484848485,"{""alpha"": 0.5, ""k"": 5}"
siglip2_b16_384,384,confirmatory,29,Facility selection (no reliability),40,440,0.9490909090909091,0.9490909090909092,0.9484843495176526,0.8568484848484849,"{""alpha"": 0.25, ""k"": 10}"
siglip2_b16_384,384,confirmatory,29,EvidenceMem v4 continuous fusion,40,440,0.9481818181818182,0.9481818181818183,0.9475939857849365,0.8568484848484849,"{""class_k"": 5, ""continuous_intercept"": 0.0, ""continuous_slope"": 0.0, ""fixed_alpha"": 0.0, ""global_setting"": {""alpha"": 0.5, ""k"": 10}, ""reliability_mean"": 0.8359166383743286, ""reliability_power"": 0.5, ""reliability_std"": 0.020527813583612442, ""reliability_weights"": {""alignment"": 0.2, ""compactness"": 0.45, ""purity"": 0.35}, ""variant"": ""class_conditional_continuous_fusion""}"
siglip2_b16_384,384,confirmatory,29,Random memory,80,880,0.936969696969697,0.936969696969697,0.9365550546479559,0.8926666666666667,"{""alpha"": 0.75, ""k"": 5}"
siglip2_b16_384,384,confirmatory,29,Facility selection (no reliability),80,880,0.9545454545454546,0.9545454545454546,0.9543087682225295,0.9093333333333333,"{""alpha"": 0.75, ""k"": 5}"
siglip2_b16_384,384,confirmatory,29,EvidenceMem v4 continuous fusion,80,880,0.9545454545454546,0.9545454545454546,0.95423688515517,0.9093333333333333,"{""class_k"": 5, ""continuous_intercept"": 0.0, ""continuous_slope"": 0.0, ""fixed_alpha"": 0.0, ""global_setting"": {""alpha"": 0.75, ""k"": 5}, ""reliability_mean"": 0.5480118989944458, ""reliability_power"": 2.0, ""reliability_std"": 0.004909169860184193, ""reliability_weights"": {""alignment"": 1.0, ""compactness"": 0.0, ""purity"": 0.0}, ""variant"": ""class_conditional_continuous_fusion""}"
siglip2_b16_384,384,confirmatory,43,Random memory,20,220,0.9087878787878788,0.9087878787878787,0.9068936994393989,0.5985151515151516,"{""alpha"": 0.75, ""k"": 20}"
siglip2_b16_384,384,confirmatory,43,Facility selection (no reliability),20,220,0.9433333333333334,0.9433333333333332,0.9426884422447842,0.8121515151515152,"{""alpha"": 0.5, ""k"": 10}"
siglip2_b16_384,384,confirmatory,43,EvidenceMem v4 continuous fusion,20,220,0.9415151515151515,0.9415151515151515,0.9405619547682543,0.6711818181818182,"{""class_k"": 10, ""continuous_intercept"": 0.0, ""continuous_slope"": -0.25, ""fixed_alpha"": 0.0, ""global_setting"": {""alpha"": 0.5, ""k"": 20}, ""reliability_mean"": 0.5499770641326904, ""reliability_power"": 2.0, ""reliability_std"": 0.0033632947597652674, ""reliability_weights"": {""alignment"": 1.0, ""compactness"": 0.0, ""purity"": 0.0}, ""variant"": ""class_conditional_continuous_fusion""}"
siglip2_b16_384,384,confirmatory,43,Random memory,40,440,0.9324242424242424,0.9324242424242424,0.931307942145359,0.8303636363636364,"{""alpha"": 0.75, ""k"": 10}"
siglip2_b16_384,384,confirmatory,43,Facility selection (no reliability),40,440,0.9484848484848485,0.9484848484848485,0.9478910954818052,0.8557272727272728,"{""alpha"": 0.75, ""k"": 10}"
siglip2_b16_384,384,confirmatory,43,EvidenceMem v4 continuous fusion,40,440,0.9521212121212121,0.952121212121212,0.9515456581600944,0.8557272727272728,"{""class_k"": 5, ""continuous_intercept"": 0.25, ""continuous_slope"": 0.0, ""fixed_alpha"": 0.25, ""global_setting"": {""alpha"": 0.5, ""k"": 10}, ""reliability_mean"": 0.8842058181762695, ""reliability_power"": 0.5, ""reliability_std"": 0.01774311624467373, ""reliability_weights"": {""alignment"": 0.0, ""compactness"": 1.0, ""purity"": 0.0}, ""variant"": ""class_conditional_continuous_fusion""}"
siglip2_b16_384,384,confirmatory,43,Random memory,80,880,0.9345454545454546,0.9345454545454545,0.934008557358938,0.8323787878787878,"{""alpha"": 0.75, ""k"": 20}"
siglip2_b16_384,384,confirmatory,43,Facility selection (no reliability),80,880,0.9557575757575758,0.9557575757575756,0.9553960931580924,0.9219191919191919,"{""alpha"": 0.75, ""k"": 3}"
siglip2_b16_384,384,confirmatory,43,EvidenceMem v4 continuous fusion,80,880,0.9548484848484848,0.9548484848484847,0.9544289181617553,0.9219191919191919,"{""class_k"": 3, ""continuous_intercept"": 0.0, ""continuous_slope"": 0.0, ""fixed_alpha"": 0.0, ""global_setting"": {""alpha"": 0.75, ""k"": 3}, ""reliability_mean"": 0.5475482940673828, ""reliability_power"": 0.5, ""reliability_std"": 0.0053930822759866714, ""reliability_weights"": {""alignment"": 1.0, ""compactness"": 0.0, ""purity"": 0.0}, ""variant"": ""class_conditional_continuous_fusion""}"
siglip2_b16_384,384,confirmatory,61,Random memory,20,220,0.9151515151515152,0.9151515151515152,0.9138130263679851,0.7580606060606061,"{""alpha"": 0.75, ""k"": 10}"
siglip2_b16_384,384,confirmatory,61,Facility selection (no reliability),20,220,0.9387878787878788,0.938787878787879,0.9378093584747124,0.6679393939393939,"{""alpha"": 0.5, ""k"": 20}"
siglip2_b16_384,384,confirmatory,61,EvidenceMem v4 continuous fusion,20,220,0.9436363636363636,0.9436363636363637,0.9428756499389519,0.6679393939393939,"{""class_k"": 10, ""continuous_intercept"": 0.5, ""continuous_slope"": 0.0, ""fixed_alpha"": 0.5, ""global_setting"": {""alpha"": 0.5, ""k"": 20}, ""reliability_mean"": 0.5493600964546204, ""reliability_power"": 1.0, ""reliability_std"": 0.003284950740635395, ""reliability_weights"": {""alignment"": 1.0, ""compactness"": 0.0, ""purity"": 0.0}, ""variant"": ""class_conditional_continuous_fusion""}"
siglip2_b16_384,384,confirmatory,61,Random memory,40,440,0.923939393939394,0.9239393939393938,0.9232143333018744,0.8643636363636363,"{""alpha"": 0.75, ""k"": 5}"
siglip2_b16_384,384,confirmatory,61,Facility selection (no reliability),40,440,0.9466666666666667,0.9466666666666668,0.9463131500338524,0.8933939393939394,"{""alpha"": 0.0, ""k"": 5}"
siglip2_b16_384,384,confirmatory,61,EvidenceMem v4 continuous fusion,40,440,0.9463636363636364,0.9463636363636364,0.9459492045193667,0.8933939393939394,"{""class_k"": 3, ""continuous_intercept"": 0.0, ""continuous_slope"": 0.0, ""fixed_alpha"": 0.0, ""global_setting"": {""alpha"": 0.0, ""k"": 5}, ""reliability_mean"": 0.5483815670013428, ""reliability_power"": 2.0, ""reliability_std"": 0.004973602946847677, ""reliability_weights"": {""alignment"": 1.0, ""compactness"": 0.0, ""purity"": 0.0}, ""variant"": ""class_conditional_continuous_fusion""}"
siglip2_b16_384,384,confirmatory,61,Random memory,80,880,0.9345454545454546,0.9345454545454547,0.9333126763058175,0.8565757575757575,"{""alpha"": 0.75, ""k"": 10}"
siglip2_b16_384,384,confirmatory,61,Facility selection (no reliability),80,880,0.9515151515151515,0.9515151515151515,0.9509644200927735,0.8836363636363637,"{""alpha"": 0.0, ""k"": 10}"
siglip2_b16_384,384,confirmatory,61,EvidenceMem v4 continuous fusion,80,880,0.9521212121212121,0.9521212121212123,0.951785714051135,0.8836363636363637,"{""class_k"": 5, ""continuous_intercept"": 0.0, ""continuous_slope"": 0.0, ""fixed_alpha"": 0.0, ""global_setting"": {""alpha"": 0.0, ""k"": 10}, ""reliability_mean"": 0.5480393767356873, ""reliability_power"": 2.0, ""reliability_std"": 0.004979647230356932, ""reliability_weights"": {""alignment"": 1.0, ""compactness"": 0.0, ""purity"": 0.0}, ""variant"": ""class_conditional_continuous_fusion""}"
