class_id,class_name,examples_per_seed,evidencemem_accuracy,full_knn_accuracy,facility_accuracy,evidencemem_minus_full_knn_pp,evidencemem_minus_facility_pp
0,apparel,300,0.992,0.99,0.9926666666666666,0.20000000000000018,-0.06666666666665932
1,artwork,300,0.7866666666666667,0.8366666666666667,0.7873333333333333,-4.999999999999993,-0.06666666666665932
2,cars,300,0.9986666666666666,1.0,0.9993333333333332,-0.13333333333334085,-0.06666666666665932
3,dishes,300,0.9873333333333333,0.9966666666666667,0.982,-0.9333333333333416,0.5333333333333301
4,furniture,300,0.9793333333333333,0.9800000000000001,0.9793333333333333,-0.06666666666668153,0.0
5,illustrations,300,0.932,0.9533333333333334,0.9333333333333333,-2.1333333333333315,-0.13333333333332975
6,landmark,300,0.9586666666666666,0.9666666666666666,0.9606666666666666,-0.8000000000000007,-0.20000000000000018
7,meme,300,0.9566666666666667,0.95,0.958,0.666666666666671,-0.13333333333332975
8,packaged,300,0.9766666666666666,0.9833333333333332,0.9753333333333334,-0.6666666666666599,0.13333333333331865
9,storefronts,300,0.9166666666666667,0.9266666666666665,0.9073333333333334,-0.9999999999999787,0.9333333333333305
10,toys,300,0.9573333333333334,0.9666666666666666,0.9533333333333334,-0.9333333333333194,0.40000000000000036
