seed,method,accuracy_siglip2_b16_384,aurc_siglip2_b16_384,ece_15_siglip2_b16_384,macro_f1_siglip2_b16_384
7,CLIP zero-shot,0.8796969696969696,0.048430636081381775,0.324947961624787,0.8769375934790692
7,Centroid fused,0.8942424242424243,0.017738389590584318,0.030246640536126954,0.8918249059675116
7,EvidenceMem v2 selection fused,0.9403030303030303,0.008956180544962188,0.039896621401538476,0.9396610378321854
7,EvidenceMem v4 class-conditional visual,0.9503030303030303,0.0045917813298431125,0.01844912997005925,0.9497655910875071
7,EvidenceMem v4 continuous fusion,0.9503030303030303,0.004374936903694679,0.012942499264682814,0.9498111218755979
7,EvidenceMem v4 fixed fusion,0.9503030303030303,0.004374936903694679,0.012942499264682814,0.9498111218755979
7,EvidenceMem v4 global fusion,0.9466666666666667,0.0050387114910181805,0.024081431979772715,0.9461191148608905
7,Facility selection (no reliability) fused,0.9472727272727273,0.004960258873312331,0.0240965491818386,0.9467559665168597
7,Full kNN,0.9590909090909091,0.010821963554657778,0.011950978386985587,0.9588246483419222
7,KMeans medoids fused,0.9424242424242424,0.0055307487234229685,0.025487710647907467,0.9417560372102723
7,Linear probe,0.9666666666666667,0.0019480554311093043,0.011819357118448323,0.966588928283148
7,Random memory fused,0.9290909090909091,0.00915494375289459,0.031494731391309684,0.9280375127498953
7,Tip-Adapter (matched cache),0.9166666666666666,0.013513394886340412,0.03980656594958942,0.9141326504068449
17,CLIP zero-shot,0.8796969696969696,0.048430636081381775,0.324947961624787,0.8769375934790692
17,Centroid fused,0.8942424242424243,0.017738389590584318,0.030246640536126954,0.8918249059675116
17,EvidenceMem v2 selection fused,0.9424242424242424,0.008955094686629236,0.03989836497598906,0.9419557512516824
17,EvidenceMem v4 class-conditional visual,0.9490909090909091,0.004546719400940459,0.018851270478754584,0.9486672064457943
17,EvidenceMem v4 continuous fusion,0.9493939393939393,0.0045617831257683305,0.01946879003555905,0.948983609159458
17,EvidenceMem v4 fixed fusion,0.9490909090909091,0.004546719400940459,0.018851270478754584,0.9486672064457943
17,EvidenceMem v4 global fusion,0.9478787878787879,0.005368560490039479,0.05406815538625297,0.9475380425534946
17,Facility selection (no reliability) fused,0.9487878787878787,0.005403481349761299,0.01193999895208872,0.9484546539427612
17,Full kNN,0.9590909090909091,0.010821963554657778,0.011950978386985587,0.9588246483419222
17,KMeans medoids fused,0.9466666666666667,0.005982449936692834,0.023937258910133374,0.945808830489261
17,Linear probe,0.9666666666666667,0.0019480554311093043,0.011819357118448323,0.966588928283148
17,Random memory fused,0.9257575757575758,0.009563935349663627,0.02478025069730315,0.9243326304830554
17,Tip-Adapter (matched cache),0.9157575757575758,0.014839519433552948,0.03982754659125739,0.9137287831384207
29,CLIP zero-shot,0.8796969696969696,0.048430636081381775,0.324947961624787,0.8769375934790692
29,Centroid fused,0.8942424242424243,0.017738389590584318,0.030246640536126954,0.8918249059675116
29,EvidenceMem v2 selection fused,0.9415151515151515,0.007110966106149351,0.03287133775658563,0.9406714999086723
29,EvidenceMem v4 class-conditional visual,0.9481818181818182,0.004904050652574477,0.020414824903387613,0.9475939857849365
29,EvidenceMem v4 continuous fusion,0.9481818181818182,0.004904050652574477,0.020414824903387613,0.9475939857849365
29,EvidenceMem v4 fixed fusion,0.9481818181818182,0.004904050652574477,0.020414824903387613,0.9475939857849365
29,EvidenceMem v4 global fusion,0.9475757575757576,0.0055873503367896,0.0499339042074325,0.9469025016945852
29,Facility selection (no reliability) fused,0.9490909090909091,0.005423558609831421,0.012488406890763302,0.9484843495176526
29,Full kNN,0.9590909090909091,0.010821963554657778,0.011950978386985587,0.9588246483419222
29,KMeans medoids fused,0.9472727272727273,0.0072909182872123186,0.030531032815821847,0.9468673818525727
29,Linear probe,0.9666666666666667,0.0019480554311093043,0.011819357118448323,0.966588928283148
29,Random memory fused,0.9272727272727272,0.011341701923382309,0.0389596227270146,0.9267359827309275
29,Tip-Adapter (matched cache),0.9163636363636364,0.013340445720758862,0.04263872050993946,0.9145452839865565
43,CLIP zero-shot,0.8796969696969696,0.048430636081381775,0.324947961624787,0.8769375934790692
43,Centroid fused,0.8942424242424243,0.017738389590584318,0.030246640536126954,0.8918249059675116
43,EvidenceMem v2 selection fused,0.9403030303030303,0.008927751012216798,0.03918201042789512,0.9394221336907045
43,EvidenceMem v4 class-conditional visual,0.9509090909090909,0.004636484281296953,0.017029275993182633,0.9503475473773508
43,EvidenceMem v4 continuous fusion,0.9521212121212121,0.004440025599104681,0.01616042349013858,0.9515456581600944
43,EvidenceMem v4 fixed fusion,0.9521212121212121,0.004440025599104681,0.01616042349013858,0.9515456581600944
43,EvidenceMem v4 global fusion,0.9487878787878787,0.005190094032439584,0.05337198769314705,0.9481704139790869
43,Facility selection (no reliability) fused,0.9484848484848485,0.005223538897504717,0.020426844511450805,0.9478910954818052
43,Full kNN,0.9590909090909091,0.010821963554657778,0.011950978386985587,0.9588246483419222
43,KMeans medoids fused,0.9451515151515152,0.006314288286388911,0.024498377270642545,0.9445873448163806
43,Linear probe,0.9666666666666667,0.0019480554311093043,0.011819357118448323,0.966588928283148
43,Random memory fused,0.9324242424242424,0.008969459262564414,0.03012714594346703,0.931307942145359
43,Tip-Adapter (matched cache),0.916060606060606,0.014496244853688762,0.04050911675528362,0.9139213431075768
61,CLIP zero-shot,0.8796969696969696,0.048430636081381775,0.324947961624787,0.8769375934790692
61,Centroid fused,0.8942424242424243,0.017738389590584318,0.030246640536126954,0.8918249059675116
61,EvidenceMem v2 selection fused,0.9427272727272727,0.008684816745388986,0.03384848772516473,0.9422379080378427
61,EvidenceMem v4 class-conditional visual,0.9463636363636364,0.0045764286766740245,0.021581650550675475,0.9459492045193667
